İlan no,Son Güncelleme Tarihi,Konut Tipi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Ada No,Parsel No,Yetkili Ofis,city,district,price
130606-182,30-10-2024,Daire,6 + 1,250 m2 / 200 m2,3. Kat,4 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,,,Mülk Sahibi,Kat Mülkiyeti,,Evet,"Güney, Doğu, Batı",,,,,,Ankara,Mamak,3.599.000 TL
31920-4288,30-10-2024,Daire,2 + 1,90 m2 / 70 m2,Giriş Katı,35 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Boş,Kat Mülkiyeti,250 TL,Hayır,"Kuzey, Batı",12.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,2.400.000 TL
1468-10416,30-10-2024,Daire,1 + 1,70 m2 / 60 m2,Kot 2,40 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,300 TL,Hayır,Güney,15.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,2.600.000 TL
120327-483,30-10-2024,Daire,3 + 1,135 m2 / 125 m2,Bahçe Katı,14 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,,"Güney, Batı",,Doğalgaz,,,Evet,Ankara,Mamak,1.800.000 TL
8790-1436,30-10-2024,Daire,3 + 1,140 m2 / 125 m2,Kot 1,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,200 TL,Hayır,Doğu,18.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,3.450.000 TL
141924-376,30-10-2024,Daire,3 + 1,120 m2 / 110 m2,3. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Evet,"Kuzey, Güney, Doğu, Batı",22.000 TL,Doğalgaz,0,,Evet,Ankara,Keçiören,2.950.000 TL
93775-12,30-10-2024,Daire,3 + 0,140 m2 / 130 m2,3. Kat,4 Yaşında,Kombi,2 Katlı,Uygun,,1,,,,Kat Mülkiyeti,,,,18.000 TL,,,,Evet,Ankara,Mamak,2.325.000 TL
110538-3409,30-10-2024,Daire,2 + 1,150 m2 / 86 m2,1. Kat,2 Yaşında,Merkezi (Pay Ölçer),13 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,1.100 TL,Hayır,"Kuzey, Güney, Doğu",27.500 TL,Doğalgaz,46642,5,Evet,Ankara,Etimesgut,5.200.000 TL
141761-910,30-10-2024,Daire,6 + 1,270 m2 / 255 m2,3. Kat,11 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,,"Güney, Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Etimesgut,4.950.000 TL
114758-735,30-10-2024,Daire,3 + 1,135 m2 / 125 m2,Yüksek Giriş,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı,1,,,Mülk Sahibi,Kat Mülkiyeti,,Hayır,"Güney, Doğu",,,,,,Ankara,Altındağ,2.775.000 TL
